id,name,born,birthplace,url,games_year,birth_date,birth_year,birth_month,birth_quarter,age_at_games
138284,Caroline Claire,2 February 2000,"Edina, Minnesota (USA)",https://www.olympedia.org/athletes/138284,2022,2000-02-02,2000,2,1,22.01
149124,Matty Beniers,5 November 2002,"Hingham, Massachusetts (USA)",https://www.olympedia.org/athletes/149124,2022,2002-11-05,2002,11,4,19.25
149123,Kenny Agostino,30 April 1992,"Morristown, New Jersey (USA)",https://www.olympedia.org/athletes/149123,2022,1992-04-30,1992,4,2,29.77
149132,Sam Hentges,26 July 1999,"New Brighton, Minnesota (USA)",https://www.olympedia.org/athletes/149132,2022,1999-07-26,1999,7,3,22.53
149144,Nathan Smith,19 October 1998,"Tampa, Florida (USA)",https://www.olympedia.org/athletes/149144,2022,1998-10-19,1998,10,4,23.3
149122,Nick Abruzzese,4 June 1999,"Slate Hill, New York (USA)",https://www.olympedia.org/athletes/149122,2022,1999-06-04,1999,6,2,22.67
149125,Brendan Brisson,22 October 2001,"Manhattan Beach, California (USA)",https://www.olympedia.org/athletes/149125,2022,2001-10-22,2001,10,4,20.29
138338,Brian O'Neill,1 June 1988,"Philadelphia, Pennsylvania (USA)",https://www.olympedia.org/athletes/138338,2022,1988-06-01,1988,6,2,33.68
149136,Marc McLaughlin,26 July 1999,"North Billerica, Massachusetts (USA)",https://www.olympedia.org/athletes/149136,2022,1999-07-26,1999,7,3,22.53
149130,Sean Farrell,2 November 2001,"Hopkinton, Massachusetts (USA)",https://www.olympedia.org/athletes/149130,2022,2001-11-02,2001,11,4,20.26
149126,Noah Cates,5 February 1999,"Stillwater, Minnesota (USA)",https://www.olympedia.org/athletes/149126,2022,1999-02-05,1999,2,1,23.0
149143,Nick Shore,26 September 1992,"Denver, Colorado (USA)",https://www.olympedia.org/athletes/149143,2022,1992-09-26,1992,9,3,29.36
149137,Ben Meyers,15 November 1998,"Delano, Minnesota (USA)",https://www.olympedia.org/athletes/149137,2022,1998-11-15,1998,11,4,23.22
149138,Andy Miele,15 April 1988,"Grosse Pointe Woods, Michigan (USA)",https://www.olympedia.org/athletes/149138,2022,1988-04-15,1988,4,2,33.81
149134,Matt Knies,17 October 2002,"Phoenix, Arizona (USA)",https://www.olympedia.org/athletes/149134,2022,2002-10-17,2002,10,4,19.3
149195,Justin Abdelkader,25 February 1987,"Muskegon, Michigan (USA)",https://www.olympedia.org/athletes/149195,2022,1987-02-25,1987,2,1,34.94
149131,Drew Helleson,26 March 2001,"Farmington, Minnesota (USA)",https://www.olympedia.org/athletes/149131,2022,2001-03-26,2001,3,1,20.86
149145,David Warsofsky,30 May 1990,"Marshfield, Massachusetts (USA)",https://www.olympedia.org/athletes/149145,2022,1990-05-30,1990,5,2,31.69
149141,Nick Perbix,15 June 1998,"Elk River, Minnesota (USA)",https://www.olympedia.org/athletes/149141,2022,1998-06-15,1998,6,2,23.64
149142,Jake Sanderson,8 July 2002,"Whitefish, Montana (USA)",https://www.olympedia.org/athletes/149142,2022,2002-07-08,2002,7,3,19.58
149129,Brock Faber,22 August 2002,"Maple Grove, Minnesota (USA)",https://www.olympedia.org/athletes/149129,2022,2002-08-22,2002,8,3,19.46
149133,Steven Kampfer,24 September 1988,"Jackson, Michigan (USA)",https://www.olympedia.org/athletes/149133,2022,1988-09-24,1988,9,3,33.36
149128,Brian Cooper,1 November 1993,"Anchorage, Alaska (USA)",https://www.olympedia.org/athletes/149128,2022,1993-11-01,1993,11,4,28.26
149140,Aaron Ness,18 May 1990,"Bemidji, Minnesota (USA)",https://www.olympedia.org/athletes/149140,2022,1990-05-18,1990,5,2,31.72
149127,Drew Commesso,19 July 2002,"Norwell, Massachusetts (USA)",https://www.olympedia.org/athletes/149127,2022,2002-07-19,2002,7,3,19.55
149135,Strauss Mann,18 August 1998,"Greenwich, Connecticut (USA)",https://www.olympedia.org/athletes/149135,2022,1998-08-18,1998,8,3,23.47
149139,Pat Nagle,21 September 1987,"West Bloomfield Township, Michigan (USA)",https://www.olympedia.org/athletes/149139,2022,1987-09-21,1987,9,3,34.37
149119,Abby Roque,25 September 1997,"Sault Sainte Marie, Michigan (USA)",https://www.olympedia.org/athletes/149119,2022,1997-09-25,1997,9,3,24.36
138317,Kelly Pannek,29 December 1995,"Minneapolis, Minnesota (USA)",https://www.olympedia.org/athletes/138317,2022,1995-12-29,1995,12,4,26.1
149121,Grace Zumwinkle,23 April 1999,"Minneapolis, Minnesota (USA)",https://www.olympedia.org/athletes/149121,2022,1999-04-23,1999,4,2,22.79
128731,Brianna Decker,13 May 1991,"Dousman, Wisconsin (USA)",https://www.olympedia.org/athletes/128731,2022,1991-05-13,1991,5,2,30.73
149120,Hayley Scamurra,14 December 1994,"Williamsville, New York (USA)",https://www.olympedia.org/athletes/149120,2022,1994-12-14,1994,12,4,27.14
