id,games_year,name_from_roster,sport_from_roster
128737,2022,Lee Stecklein,Ice Hockey
138321,2022,Maddie Rooney,Ice Hockey
149136,2022,Marc McLaughlin,Ice Hockey
149134,2022,Matt Knies,Ice Hockey
149124,2022,Matty Beniers,Ice Hockey
128728,2022,Megan Bozek,Ice Hockey
138315,2022,Megan Keller,Ice Hockey
149144,2022,Nathan Smith,Ice Hockey
149122,2022,Nick Abruzzese,Ice Hockey
149141,2022,Nick Perbix,Ice Hockey
149143,2022,Nick Shore,Ice Hockey
138314,2022,Nicole Hensley,Ice Hockey
149126,2022,Noah Cates,Ice Hockey
149139,2022,Pat Nagle,Ice Hockey
149132,2022,Sam Hentges,Ice Hockey
149116,2022,Savannah Harmon,Ice Hockey
149130,2022,Sean Farrell,Ice Hockey
149133,2022,Steven Kampfer,Ice Hockey
149135,2022,Strauss Mann,Ice Hockey
2302054,2022,Ashley Farquharson,Luge
119429,2022,Chris Mazdzer,Luge
138347,2022,Emily Sweeney,Luge
149147,2022,Jonathan Gustafson,Luge
149148,2022,Sean Hollander,Luge
128750,2022,Summer Britcher,Luge
128755,2022,Tucker West,Luge
149146,2022,Zachary DiGregorio,Luge
138353,2022,Ben Loomis,Nordic Combined
149150,2022,Jared Shumate,Nordic Combined
138352,2022,Jasper Good,Nordic Combined
149149,2022,Stephan Schumann,Nordic Combined
119483,2022,Taylor Fletcher,Nordic Combined
149170,2022,Andrew Heo,Short Track Speed Skating
149169,2022,Corie Stoddard,Short Track Speed Skating
149166,2022,Eunice Lee,Short Track Speed Skating
149167,2022,Julie Letai,Short Track Speed Skating
149168,2022,Kristen Santos,Short Track Speed Skating
138383,2022,Maame Biney,Short Track Speed Skating
1800042,2022,Ryan Pivirotto,Short Track Speed Skating
149160,2022,Andrew Blaser,Skeleton
110429,2022,Katie Uhlaender,Skeleton
149159,2022,Kelly Curtis,Skeleton
149180,2022,Anna Hoffmann,Ski Jumping
138359,2022,Casey Larson,Ski Jumping
149157,2022,Decker Dean,Ski Jumping
138357,2022,Kevin Bickner,Ski Jumping
149158,2022,Patrick Gasienica,Ski Jumping
138372,2022,Chase Josey,Snowboarding
138361,2022,Chloe Kim,Snowboarding
