athlete_id,games_year,events_entered,medal_count,any_gold,any_silver,any_bronze,any_medal,best_position,sports
139954,2022,1,0,False,False,False,False,16.0,Snowboarding
140024,2026,2,0,False,False,False,False,23.0,Ski Jumping
140047,2026,2,0,False,False,False,False,21.0,Ski Jumping
140168,2022,2,0,False,False,False,False,13.0,Speed Skating
140168,2026,4,3,True,True,False,True,1.0,Speed Skating
140320,2026,1,0,False,False,False,False,18.0,Freestyle Skiing
149061,2022,1,0,False,False,False,False,26.0,Alpine Skiing
149062,2022,2,0,False,False,False,False,34.0,Alpine Skiing
149062,2026,2,0,False,False,False,False,19.0,Alpine Skiing
149064,2022,2,0,False,False,False,False,8.0,Alpine Skiing
149064,2026,2,0,False,False,False,False,8.0,Alpine Skiing
149065,2022,1,0,False,False,False,False,,Alpine Skiing
149065,2026,2,0,False,False,False,False,20.0,Alpine Skiing
149066,2022,2,0,False,False,False,False,21.0,Alpine Skiing
149066,2026,1,0,False,False,False,False,21.0,Alpine Skiing
149067,2022,2,0,False,False,False,False,,Alpine Skiing
149069,2026,1,0,False,False,False,False,7.0,Bobsleigh
149076,2022,4,0,False,False,False,False,7.0,Biathlon
149076,2026,3,0,False,False,False,False,34.0,Biathlon
149077,2022,3,0,False,False,False,False,28.0,Biathlon
149078,2022,2,0,False,False,False,False,35.0,Biathlon
149078,2026,3,0,False,False,False,False,44.0,Biathlon
149079,2022,2,0,False,False,False,False,18.0,Cross Country Skiing
149079,2026,2,0,False,False,False,False,6.0,Cross Country Skiing
149080,2022,1,0,False,False,False,False,15.0,Cross Country Skiing
149081,2022,2,0,False,False,False,False,18.0,Cross Country Skiing
149081,2026,2,0,False,False,False,False,26.0,Cross Country Skiing
149082,2022,2,0,False,False,False,False,32.0,Cross Country Skiing
149082,2026,2,0,False,False,False,False,19.0,Cross Country Skiing
149083,2022,1,0,False,False,False,False,17.0,Cross Country Skiing
149084,2022,1,0,False,False,False,False,25.0,Cross Country Skiing
149085,2022,2,0,False,False,False,False,12.0,Cross Country Skiing
149085,2026,2,1,False,True,False,True,2.0,Cross Country Skiing
149086,2022,2,0,False,False,False,False,15.0,Cross Country Skiing
149086,2026,1,0,False,False,False,False,8.0,Cross Country Skiing
149087,2022,2,0,False,False,False,False,39.0,Cross Country Skiing
149087,2026,4,0,False,False,False,False,13.0,Cross Country Skiing
149091,2022,1,0,False,False,False,False,6.0,Freestyle Skiing
149091,2026,2,0,False,False,False,False,6.0,Freestyle Skiing
149092,2022,2,0,False,False,False,False,12.0,Freestyle Skiing
149092,2026,2,0,False,False,False,False,16.0,Freestyle Skiing
149093,2022,1,0,False,False,False,False,8.0,Freestyle Skiing
149093,2026,1,0,False,False,False,False,5.0,Freestyle Skiing
149094,2022,1,0,False,False,False,False,11.0,Freestyle Skiing
149095,2022,1,1,False,False,True,True,3.0,Freestyle Skiing
149096,2022,1,0,False,False,False,False,10.0,Freestyle Skiing
149097,2022,1,0,False,False,False,False,7.0,Freestyle Skiing
149098,2022,1,0,False,False,False,False,15.0,Freestyle Skiing
149098,2026,1,0,False,False,False,False,6.0,Freestyle Skiing
149099,2022,2,0,False,False,False,False,11.0,Freestyle Skiing
149099,2026,2,1,False,True,False,True,2.0,Freestyle Skiing
149100,2022,1,0,False,False,False,False,6.0,Freestyle Skiing
149100,2026,1,0,False,False,False,False,8.0,Freestyle Skiing
149101,2022,1,0,False,False,False,False,14.0,Freestyle Skiing
149102,2022,1,0,False,False,False,False,5.0,Freestyle Skiing
149102,2026,2,0,False,False,False,False,7.0,Freestyle Skiing
149103,2022,1,0,False,False,False,False,5.0,Freestyle Skiing
149104,2022,2,1,False,True,False,True,2.0,Freestyle Skiing
149105,2022,1,0,False,False,False,False,16.0,Freestyle Skiing
149105,2026,2,0,False,False,False,False,7.0,Freestyle Skiing
149106,2022,1,0,False,False,False,False,28.0,Freestyle Skiing
149107,2022,1,0,False,False,False,False,9.0,Figure Skating
149110,2022,1,0,False,False,False,False,6.0,Figure Skating
149110,2026,1,1,True,False,False,True,1.0,Figure Skating
149147,2022,1,0,False,False,False,False,19.0,Luge
149147,2026,1,0,False,False,False,False,11.0,Luge
149149,2022,1,0,False,False,False,False,25.0,Nordic Combined
149150,2022,2,0,False,False,False,False,17.0,Nordic Combined
149151,2022,1,0,False,False,False,False,7.0,Snowboarding
149151,2026,1,0,False,False,False,False,14.0,Snowboarding
149152,2022,1,0,False,False,False,False,17.0,Snowboarding
149153,2022,1,0,False,False,False,False,31.0,Snowboarding
149154,2022,2,0,False,False,False,False,12.0,Snowboarding
149154,2026,2,0,False,False,False,False,25.0,Snowboarding
149155,2022,1,0,False,False,False,False,17.0,Snowboarding
149156,2022,1,0,False,False,False,False,29.0,Snowboarding
149156,2026,2,0,False,False,False,False,21.0,Snowboarding
149157,2022,2,0,False,False,False,False,44.0,Ski Jumping
149158,2022,2,0,False,False,False,False,49.0,Ski Jumping
149159,2022,1,0,False,False,False,False,21.0,Skeleton
149159,2026,1,0,False,False,False,False,12.0,Skeleton
149160,2022,1,0,False,False,False,False,21.0,Skeleton
149161,2022,1,0,False,False,False,False,12.0,Speed Skating
