sport,event,athlete_id,athlete,position,medal,is_team_entry
Freestyle Skiing,"Moguls, Men",157271,Charlie Mickel,12,,no
Freestyle Skiing,"Moguls, Men",149105,Dylan Walczyk,13,,no
Freestyle Skiing,"Moguls, Men",157274,Landon Wendler,17,,no
Freestyle Skiing,"Aerials, Men",149100,Chris Lillis,8,,no
Freestyle Skiing,"Aerials, Men",157270,Derek Krueger,11,,no
Freestyle Skiing,"Aerials, Men",157267,Connor Curran,12,,no
Freestyle Skiing,"Aerials, Men",157268,Quinn Dehlinger,DNS,,no
Freestyle Skiing,"Halfpipe, Men",138294,Alex Ferreira,1,Gold,no
Freestyle Skiing,"Halfpipe, Men",128711,Nick Goepper,4,,no
Freestyle Skiing,"Halfpipe, Men",2302026,Birk Irving,5,,no
Freestyle Skiing,"Halfpipe, Men",157269,Hunter Hess,10,,no
Freestyle Skiing,"Slopestyle, Men",138295,Alex Hall,2,Silver,no
Freestyle Skiing,"Dual Moguls, Men",157271,Charlie Mickel,6,,no
Freestyle Skiing,"Dual Moguls, Men",149105,Dylan Walczyk,7,,no
Freestyle Skiing,"Slopestyle, Men",157273,Konnor Ralph,9,,no
Freestyle Skiing,"Slopestyle, Men",149099,Mac Forehand,11,,no
Freestyle Skiing,"Dual Moguls, Men",149102,Nick Page,15,,no
Freestyle Skiing,"Dual Moguls, Men",157274,Landon Wendler,26,,no
Freestyle Skiing,"Slopestyle, Men",157272,Troy Podmilsak,28,,no
Freestyle Skiing,"Big Air, Men",149099,Mac Forehand,2,Silver,no
Freestyle Skiing,"Big Air, Men",157272,Troy Podmilsak,4,,no
Freestyle Skiing,"Big Air, Men",157273,Konnor Ralph,5,,no
Freestyle Skiing,"Big Air, Men",138295,Alex Hall,26,,no
Freestyle Skiing,"Moguls, Women",1806313,Liz Lemley,1,Gold,no
Freestyle Skiing,"Moguls, Women",138286,Jaelin Kauf,2,Silver,no
Freestyle Skiing,"Moguls, Women",149091,Olivia Giaccio,9,,no
Freestyle Skiing,"Moguls, Women",138285,Tess Johnson,10,,no
Freestyle Skiing,"Aerials, Women",149093,Kaila Kuhn,5,,no
Freestyle Skiing,"Aerials, Women",149098,Winter Vinecki,6,,no
Freestyle Skiing,"Aerials, Women",157219,Tasia Tanner,11,,no
Freestyle Skiing,"Aerials, Women",157214,Kyra Dossa,14,,no
Freestyle Skiing,"Halfpipe, Women",1805937,Kate Gray,10,,no
Freestyle Skiing,"Halfpipe, Women",157217,Svea Irving,11,,no
Freestyle Skiing,"Halfpipe, Women",157220,Abby Winterberger,15,,no
Freestyle Skiing,"Halfpipe, Women",140320,Riley Jacobs,18,,no
Freestyle Skiing,"Slopestyle, Women",157218,Avery Krumme,11,,no
Freestyle Skiing,"Slopestyle, Women",157216,Grace Henderson,15,,no
Freestyle Skiing,"Slopestyle, Women",149092,Marin Hamill,16,,no
Freestyle Skiing,"Slopestyle, Women",157215,Rell Harwood,DNS,,no
Freestyle Skiing,"Big Air, Women",157216,Grace Henderson,14,,no
Freestyle Skiing,"Big Air, Women",157218,Avery Krumme,19,,no
Freestyle Skiing,"Big Air, Women",149092,Marin Hamill,22,,no
Freestyle Skiing,"Big Air, Women",157215,Rell Harwood,23,,no
Freestyle Skiing,"Dual Moguls, Women",138286,Jaelin Kauf,2,Silver,no
Freestyle Skiing,"Dual Moguls, Women",1806313,Liz Lemley,3,Bronze,no
Freestyle Skiing,"Dual Moguls, Women",138285,Tess Johnson,5,,no
Freestyle Skiing,"Dual Moguls, Women",149091,Olivia Giaccio,6,,no
Luge,"Singles, Men",149147,Jonathan Gustafson,11,,no
Luge,"Singles, Men",139817,Matthew Greiner,20,,no
Luge,"Singles, Women",2302054,Ashley Farquharson,3,Bronze,no
Luge,"Singles, Women",138347,Emily Fischnaller,12,,no
Luge,"Singles, Women",128750,Summer Britcher,14,,no
Nordic Combined,"Individual, Men",138353,Ben Loomis,17,,no
Nordic Combined,"Individual, Men",139843,Niklas Malacinski,18,,no
Nordic Combined,"Sprint, Men",139843,Niklas Malacinski,13,,no
Nordic Combined,"Sprint, Men",138353,Ben Loomis,27,,no
Short Track Speed Skating,"500 metres, Men",149170,Andrew Heo,13,,no
Short Track Speed Skating,"500 metres, Men",157316,Brandon Kim,=29,,no
Short Track Speed Skating,"1,000 metres, Men",157315,Clayton DeClemente,16,,no
Short Track Speed Skating,"1,000 metres, Men",157316,Brandon Kim,=31,,no
Short Track Speed Skating,"1,500 metres, Men",149170,Andrew Heo,11,,no
Short Track Speed Skating,"1,500 metres, Men",157316,Brandon Kim,15,,no
Short Track Speed Skating,"1,500 metres, Men",157315,Clayton DeClemente,32,,no
Short Track Speed Skating,"500 metres, Women",149168,Kristen Santos-Griswold,9,,no
Short Track Speed Skating,"500 metres, Women",149167,Julie Letai,16,,no
Short Track Speed Skating,"500 metres, Women",149169,Corie Stoddard,31,,no
Short Track Speed Skating,"1,000 metres, Women",149168,Kristen Santos-Griswold,12,,no
Short Track Speed Skating,"1,000 metres, Women",149169,Corie Stoddard,24,,no
Short Track Speed Skating,"1,000 metres, Women",149167,Julie Letai,28,,no
Short Track Speed Skating,"1,500 metres, Women",149169,Corie Stoddard,3,Bronze,no
Short Track Speed Skating,"1,500 metres, Women",157250,Kamryn Lute,23,,no
Short Track Speed Skating,"1,500 metres, Women",149168,Kristen Santos-Griswold,=33,,no
Skeleton,"Skeleton, Men",157310,Austin Florian,12,,no
Skeleton,"Skeleton, Men",157309,Dan Barefoot,20,,no
Skeleton,"Skeleton, Women",149159,Kelly Curtis,12,,no
Skeleton,"Skeleton, Women",157247,Mystique Ro,15,,no
Ski Jumping,"Normal Hill, Individual, Men",1805696,Jason Colby,20,,no
Ski Jumping,"Normal Hill, Individual, Men",157308,Tate Frantz,=21,,no
Ski Jumping,"Normal Hill, Individual, Men",138357,Kevin Bickner,33,,no
Ski Jumping,"Large Hill, Individual, Men",157308,Tate Frantz,19,,no
Ski Jumping,"Large Hill, Individual, Men",138357,Kevin Bickner,20,,no
Ski Jumping,"Large Hill, Individual, Men",1805696,Jason Colby,31,,no
Ski Jumping,"Normal Hill, Individual, Women",140047,Annika Belshaw,21,,no
Ski Jumping,"Normal Hill, Individual, Women",140024,Paige Jones,23,,no
Ski Jumping,"Normal Hill, Individual, Women",1806097,Josie Johnson,27,,no
Ski Jumping,"Large Hill, Individual, Women",140024,Paige Jones,28,,no
Ski Jumping,"Large Hill, Individual, Women",1806097,Josie Johnson,29,,no
Ski Jumping,"Large Hill, Individual, Women",140047,Annika Belshaw,DQ,,no
Ski Mountaineering,"Sprint, Men",157311,Cam Smith,11,,no
Ski Mountaineering,"Sprint, Women",157248,Anna Gibson,9,,no
Snowboarding,"Parallel Giant Slalom, Men",149156,Cody Winters,21,,no
Snowboarding,"Slopestyle, Men",157306,Jake Canter,3,Bronze,no
Snowboarding,"Slopestyle, Men",138371,Red Gerard,6,,no
Snowboarding,"Slopestyle, Men",1806403,Oliver Martin,9,,no
Snowboarding,"Slopestyle, Men",149154,Sean FitzSimons,26,,no
Snowboarding,"Halfpipe, Men",138376,Jake Pates,8,,no
Snowboarding,"Halfpipe, Men",1805512,Alessandro Barbieri,10,,no
Snowboarding,"Halfpipe, Men",138372,Chase Josey,11,,no
Snowboarding,"Halfpipe, Men",157305,Chase Blackwell,15,,no
Snowboarding,"Cross, Men",119606,Nick Baumgartner,7,,no
Snowboarding,"Cross, Men",2302065,Jake Vedder,11,,no
Snowboarding,"Cross, Men",157307,Nathan Pare,16,,no
Snowboarding,"Cross, Men",149156,Cody Winters,22,,no
Snowboarding,"Big Air, Men",1806403,Oliver Martin,4,,no
Snowboarding,"Big Air, Men",157306,Jake Canter,15,,no
Snowboarding,"Big Air, Men",138371,Red Gerard,20,,no
Snowboarding,"Big Air, Men",149154,Sean FitzSimons,25,,no
Snowboarding,"Parallel Giant Slalom, Women",157245,Iris Pflum,30,,no
Snowboarding,"Slopestyle, Women",157244,Jess Perlmutter,6,,no
Snowboarding,"Slopestyle, Women",157241,Lily Dhawornvej,11,,no
Snowboarding,"Slopestyle, Women",157243,Hahna Norman,25,,no
Snowboarding,"Halfpipe, Women",138361,Chloe Kim,2,Silver,no
Snowboarding,"Halfpipe, Women",157242,Bea Kim,8,,no
Snowboarding,"Halfpipe, Women",138365,Maddie Mastro,12,,no
Snowboarding,"Halfpipe, Women",157246,Maddy Schaffrick,15,,no
Snowboarding,"Cross, Women",119570,Faye Thelen,7,,no
Snowboarding,"Cross, Women",149151,Stacy Gaskill,14,,no
Snowboarding,"Cross, Women",1806639,Hanna Percy,18,,no
Snowboarding,"Cross, Women",1806837,Bri Schnorrbusch,19,,no
Snowboarding,"Big Air, Women",157241,Lily Dhawornvej,20,,no
Snowboarding,"Big Air, Women",157244,Jess Perlmutter,23,,no
Snowboarding,"Big Air, Women",157243,Hahna Norman,28,,no
Speed Skating,"500 metres, Men",140168,Jordan Stolz,1,Gold,no
Speed Skating,"500 metres, Men",157313,Cooper McLeod,22,,no
Speed Skating,"500 metres, Men",157314,Zach Stoppelmoor,27,,no
Speed Skating,"1,000 metres, Men",140168,Jordan Stolz,1,Gold,no
Speed Skating,"1,000 metres, Men",157312,Conor McDermott-Mostowy,9,,no
Speed Skating,"1,000 metres, Men",157313,Cooper McLeod,19,,no
Speed Skating,"1,500 metres, Men",140168,Jordan Stolz,2,Silver,no
Speed Skating,"1,500 metres, Men",128783,Emery Lehman,25,,no
Speed Skating,"1,500 metres, Men",149164,Casey Dawson,29,,no
