id,name,born,birthplace,url
157223,Amber Glenn,28 October 1999,"Plano, Texas (USA)",https://www.olympedia.org/athletes/157223
157225,Isabeau Levito,3 March 2007,"Philadelphia, Pennsylvania (USA)",https://www.olympedia.org/athletes/157225
157222,Emily Chan,11 August 1997,"McKinney, Texas (USA)",https://www.olympedia.org/athletes/157222
157275,Spencer Howe,11 September 1996,"Burbank, California (USA)",https://www.olympedia.org/athletes/157275
157224,Ellie Kam,20 December 2004,"Yokota Air Base, Tokyo, Tokyo (JPN)",https://www.olympedia.org/athletes/157224
157279,Danny O'Shea,13 February 1991,"Pontiac, Michigan (USA)",https://www.olympedia.org/athletes/157279
128718,Madison Chock,2 July 1992,"Redondo Beach, California (USA)",https://www.olympedia.org/athletes/128718
119076,Evan Bates,23 February 1989,"Ann Arbor, Michigan (USA)",https://www.olympedia.org/athletes/119076
157226,Emilea Zingas,22 April 2002,"Grosse Pointe Farms, Michigan (USA)",https://www.olympedia.org/athletes/157226
157276,Vadym Kolesnik,27 October 2001,"Kharkiv, Kharkiv (UKR)",https://www.olympedia.org/athletes/157276
157221,Christina Carreira,3 April 2000,"Montréal, Québec (CAN)",https://www.olympedia.org/athletes/157221
157280,Anthony Ponomarenko,5 January 2001,"San José, California (USA)",https://www.olympedia.org/athletes/157280
149102,Nick Page,1 August 2002,"Hollywood, Florida (USA)",https://www.olympedia.org/athletes/149102
157271,Charlie Mickel,6 July 2004,,https://www.olympedia.org/athletes/157271
149105,Dylan Walczyk,25 June 1993,"Rochester, New York (USA)",https://www.olympedia.org/athletes/149105
157274,Landon Wendler,12 October 2000,"Steamboat Springs, Colorado (USA)",https://www.olympedia.org/athletes/157274
149100,Chris Lillis,4 October 1998,"Rochester, New York (USA)",https://www.olympedia.org/athletes/149100
157270,Derek Krueger,2 June 2003,"Cleveland, Ohio (USA)",https://www.olympedia.org/athletes/157270
157267,Connor Curran,23 September 2004,,https://www.olympedia.org/athletes/157267
157268,Quinn Dehlinger,8 June 2002,"Cincinnati, Ohio (USA)",https://www.olympedia.org/athletes/157268
138294,Alex Ferreira,14 August 1994,"Aspen, Colorado (USA)",https://www.olympedia.org/athletes/138294
128711,Nick Goepper,14 March 1994,"Fort Wayne, Indiana (USA)",https://www.olympedia.org/athletes/128711
2302026,Birk Irving,26 July 1999,"Englewood, New Jersey (USA)",https://www.olympedia.org/athletes/2302026
157269,Hunter Hess,1 October 1998,"Bend, Oregon (USA)",https://www.olympedia.org/athletes/157269
138295,Alex Hall,21 September 1998,"Fairbanks, Alaska (USA)",https://www.olympedia.org/athletes/138295
157273,Konnor Ralph,27 January 2003,"Helena, Montana (USA)",https://www.olympedia.org/athletes/157273
149099,Mac Forehand,4 August 2001,"Winhall, Vermont (USA)",https://www.olympedia.org/athletes/149099
157272,Troy Podmilsak,23 August 2004,"Park City, Utah (USA)",https://www.olympedia.org/athletes/157272
1806313,Liz Lemley,22 January 2006,"Vail, Colorado (USA)",https://www.olympedia.org/athletes/1806313
138286,Jaelin Kauf,26 September 1996,"Vail, Colorado (USA)",https://www.olympedia.org/athletes/138286
149091,Olivia Giaccio,15 August 2000,"Mount Kisco, New York (USA)",https://www.olympedia.org/athletes/149091
138285,Tess Johnson,19 June 2000,"Vail, Colorado (USA)",https://www.olympedia.org/athletes/138285
149093,Kaila Kuhn,8 April 2003,"Boyne City, Michigan (USA)",https://www.olympedia.org/athletes/149093
149098,Winter Vinecki,18 December 1998,"Grand Rapids, Michigan (USA)",https://www.olympedia.org/athletes/149098
157219,Tasia Tanner,26 July 2002,,https://www.olympedia.org/athletes/157219
157214,Kyra Dossa,24 January 2004,,https://www.olympedia.org/athletes/157214
1805937,Kate Gray,29 June 2006,"Mammoth Lakes, California (USA)",https://www.olympedia.org/athletes/1805937
157217,Svea Irving,27 February 2002,,https://www.olympedia.org/athletes/157217
157220,Abby Winterberger,1 May 2010,,https://www.olympedia.org/athletes/157220
140320,Riley Jacobs,14 August 2003,"Steamboat Springs, Colorado (USA)",https://www.olympedia.org/athletes/140320
157218,Avery Krumme,23 August 2008,"Vancouver, British Columbia (CAN)",https://www.olympedia.org/athletes/157218
157216,Grace Henderson,28 April 2001,"Durham, New Hampshire (USA)",https://www.olympedia.org/athletes/157216
149092,Marin Hamill,5 April 2001,"Salt Lake City, Utah (USA)",https://www.olympedia.org/athletes/149092
157215,Rell Harwood,1 June 2001,"Park City, Utah (USA)",https://www.olympedia.org/athletes/157215
157299,Brady Tkachuk,16 September 1999,"Scottsdale, Arizona (USA)",https://www.olympedia.org/athletes/157299
2300991,Jack Eichel,28 October 1996,"Chelmsford, Massachusetts (USA)",https://www.olympedia.org/athletes/2300991
157293,J.T. Miller,14 March 1993,"East Palestine, Ohio (USA)",https://www.olympedia.org/athletes/157293
157282,Matt Boldy,5 April 2001,"Millis, Massachusetts (USA)",https://www.olympedia.org/athletes/157282
157301,Vincent Trocheck,11 July 1993,"Pittsburgh, Pennsylvania (USA)",https://www.olympedia.org/athletes/157301
157300,Matthew Tkachuk,11 December 1997,"Scottsdale, Arizona (USA)",https://www.olympedia.org/athletes/157300
157290,Dylan Larkin,30 July 1996,"Waterford, Michigan (USA)",https://www.olympedia.org/athletes/157290
157294,Brock Nelson,15 October 1991,"Minneapolis, Minnesota (USA)",https://www.olympedia.org/athletes/157294
157291,Auston Matthews,17 September 1997,"San Ramon, California (USA)",https://www.olympedia.org/athletes/157291
157284,Jake Guentzel,6 October 1994,"Omaha, Nebraska (USA)",https://www.olympedia.org/athletes/157284
157298,Tage Thompson,30 October 1997,"Phoenix, Arizona (USA)",https://www.olympedia.org/athletes/157298
157283,Kyle Connor,9 December 1996,"Clinton, Michigan (USA)",https://www.olympedia.org/athletes/157283
157319,Jack Hughes,14 May 2001,"Orlando, Florida (USA)",https://www.olympedia.org/athletes/157319
