id,name,born,birthplace,url
138251,Ryan Cochran-Siegle,27 March 1992,"Burlington, Vermont (USA)",https://www.olympedia.org/athletes/138251
138248,Bryce Bennett,14 July 1992,"Truckee, California (USA)",https://www.olympedia.org/athletes/138248
128672,Travis Ganong,14 July 1988,"Truckee, California (USA)",https://www.olympedia.org/athletes/128672
2302013,River Radamus,12 February 1998,"Edwards, Colorado (USA)",https://www.olympedia.org/athletes/2302013
118481,Tommy Ford,20 March 1989,"Hanover, New Hampshire (USA)",https://www.olympedia.org/athletes/118481
149067,Luke Winters,2 April 1997,"Gresham, Oregon (USA)",https://www.olympedia.org/athletes/149067
2302012,Keely Cashman,4 April 1999,"Sonora, California (USA)",https://www.olympedia.org/athletes/2302012
128669,Mikaela Shiffrin,13 March 1995,"Vail, Colorado (USA)",https://www.olympedia.org/athletes/128669
128670,Jackie Wiles,13 July 1992,"Portland, Oregon (USA)",https://www.olympedia.org/athletes/128670
149183,Alix Wilkinson,2 August 2000,"Mammoth Lakes, California (USA)",https://www.olympedia.org/athletes/149183
149066,Isabella Wright,10 February 1997,"American Fork, Utah (USA)",https://www.olympedia.org/athletes/149066
149064,Paula Moltzan,7 April 1994,"Robbinsdale, Minnesota (USA)",https://www.olympedia.org/athletes/149064
149065,Nina O'Brien,29 November 1997,"San Francisco, California (USA)",https://www.olympedia.org/athletes/149065
149062,A. J. Hurt,5 December 2000,"Truckee, California (USA)",https://www.olympedia.org/athletes/149062
149061,Katie Hensien,1 December 1999,"Redmond, Washington (USA)",https://www.olympedia.org/athletes/149061
138396,Tricia Mangan,7 March 1997,"Buffalo, New York (USA)",https://www.olympedia.org/athletes/138396
149077,Jake Brown,28 March 1992,"Edina, Minnesota (USA)",https://www.olympedia.org/athletes/149077
128679,Sean Doherty,8 June 1995,"North Conway, New Hampshire (USA)",https://www.olympedia.org/athletes/128679
149078,Paul Schommer,6 June 1992,"Appleton, Wisconsin (USA)",https://www.olympedia.org/athletes/149078
128680,Leif Nordgren,18 May 1989,"Colorado Springs, Colorado (USA)",https://www.olympedia.org/athletes/128680
128677,Susan Dunklee,13 February 1986,"Newport, Vermont (USA)",https://www.olympedia.org/athletes/128677
138257,Joanne Reid,28 June 1992,"Madison, Wisconsin (USA)",https://www.olympedia.org/athletes/138257
149076,Deedra Irwin,27 May 1992,"Pulaski, Wisconsin (USA)",https://www.olympedia.org/athletes/149076
138255,Clare Egan,19 November 1987,"Portland, Maine (USA)",https://www.olympedia.org/athletes/138255
149071,Frankie Del Duca,7 July 1991,"Fort Lauderdale, Florida (USA)",https://www.olympedia.org/athletes/149071
138259,Hakeem Abdul-Saboor,7 November 1987,"Hoboken, New Jersey (USA)",https://www.olympedia.org/athletes/138259
149070,Hunter Church,30 October 1996,"Cadyville, New York (USA)",https://www.olympedia.org/athletes/149070
149074,Charlie Volker,23 May 1997,"Fair Haven, New Jersey (USA)",https://www.olympedia.org/athletes/149074
149075,Josh Williamson,29 August 1996,"Sanford, Florida (USA)",https://www.olympedia.org/athletes/149075
149072,Kris Horn,25 April 1994,"Weymouth, Massachusetts (USA)",https://www.olympedia.org/athletes/149072
138264,Carlo Valdes,11 February 1990,"Newport Beach, California (USA)",https://www.olympedia.org/athletes/138264
149073,James Reed,23 May 1991,"Bloomington, Indiana (USA)",https://www.olympedia.org/athletes/149073
118644,Elana Meyers Taylor,10 October 1984,"Oceanside, California (USA)",https://www.olympedia.org/athletes/118644
149068,Sylvia Hoffman,29 June 1989,"Philadelphia, Pennsylvania (USA)",https://www.olympedia.org/athletes/149068
118672,Kaillie Humphries,4 September 1985,"Calgary, Alberta (CAN)",https://www.olympedia.org/athletes/118672
149069,Kaysha Love,24 September 1997,"West Jordan, Utah (USA)",https://www.olympedia.org/athletes/149069
149085,Ben Ogden,13 February 2000,"Landgrove, Vermont (USA)",https://www.olympedia.org/athletes/149085
149086,J. C. Schoonmaker,12 August 2000,"Truckee, California (USA)",https://www.olympedia.org/athletes/149086
149083,Kevin Bolger,11 April 1993,"Minocqua, Wisconsin (USA)",https://www.olympedia.org/athletes/149083
149084,Luke Jager,17 January 2000,"Redding, California (USA)",https://www.olympedia.org/athletes/149084
138276,Scott Patterson,28 January 1992,"McCall, Idaho (USA)",https://www.olympedia.org/athletes/138276
149087,Gus Schumacher,25 July 2000,"Madison, Wisconsin (USA)",https://www.olympedia.org/athletes/149087
128689,Jessie Diggins,26 August 1991,"Minneapolis, Minnesota (USA)",https://www.olympedia.org/athletes/128689
138267,Rosie Brennan,2 December 1988,"Salt Lake City, Utah (USA)",https://www.olympedia.org/athletes/138267
149079,Julia Kern,12 September 1997,"Berkeley, California (USA)",https://www.olympedia.org/athletes/149079
2302019,Hannah Halvorsen,19 February 1998,"Pazardzhik, Pazardzhik (BUL)",https://www.olympedia.org/athletes/2302019
149081,Novie McCabe,15 December 2001,"Winthrop, Washington (USA)",https://www.olympedia.org/athletes/149081
149082,Hailey Swirbul,10 July 1998,"El Jebel, Colorado (USA)",https://www.olympedia.org/athletes/149082
149080,Sophia Laukli,8 June 2000,"Framingham, Massachusetts (USA)",https://www.olympedia.org/athletes/149080
110160,John Shuster,3 November 1982,"Chisholm, Minnesota (USA)",https://www.olympedia.org/athletes/110160
118883,Chris Plys,13 August 1987,"Duluth, Minnesota (USA)",https://www.olympedia.org/athletes/118883
138283,Matt Hamilton,19 February 1989,"Madison, Wisconsin (USA)",https://www.olympedia.org/athletes/138283
128695,John Landsteiner,19 May 1990,"Mankato, Minnesota (USA)",https://www.olympedia.org/athletes/128695
149090,Colin Hufman,15 May 1984,"Fairbanks, Alaska (USA)",https://www.olympedia.org/athletes/149090
138279,Becca Hamilton,12 July 1990,"Madison, Wisconsin (USA)",https://www.olympedia.org/athletes/138279
138280,Tabitha Peterson-Lovick,6 March 1989,"Burnsville, Minnesota (USA)",https://www.olympedia.org/athletes/138280
138281,Nina Roth,21 July 1988,"Madison, Wisconsin (USA)",https://www.olympedia.org/athletes/138281
138278,Aileen Geving,13 February 1987,"Duluth, Minnesota (USA)",https://www.olympedia.org/athletes/138278
149089,Tara Peterson,28 May 1991,"Burnsville, Minnesota (USA)",https://www.olympedia.org/athletes/149089
149088,Vicky Persinger,1 June 1992,"Fairbanks, Alaska (USA)",https://www.olympedia.org/athletes/149088
138305,Nathan Chen,5 May 1999,"Salt Lake City, Utah (USA)",https://www.olympedia.org/athletes/138305
128725,Jason Brown,15 December 1994,"Los Angeles, California (USA)",https://www.olympedia.org/athletes/128725
138309,Vincent Zhou,25 October 2000,"San José, California (USA)",https://www.olympedia.org/athletes/138309
149110,Alysa Liu,8 August 2005,"Clovis, California (USA)",https://www.olympedia.org/athletes/149110
149107,Mariah Bell,18 April 1996,"Tulsa, Oklahoma (USA)",https://www.olympedia.org/athletes/149107
138301,Karen Chen,16 August 1999,"Fremont, California (USA)",https://www.olympedia.org/athletes/138301
138303,Alexa Scimeca Knierim,10 June 1991,"Addison, Illinois (USA)",https://www.olympedia.org/athletes/138303
149112,Brandon Frazier,19 November 1992,"Phoenix, Arizona (USA)",https://www.olympedia.org/athletes/149112
149108,Ashley Cain-Gribble,22 July 1995,"Dallas, Texas (USA)",https://www.olympedia.org/athletes/149108
149113,Timothy LeDuc,4 May 1990,"Cedar Rapids, Iowa (USA)",https://www.olympedia.org/athletes/149113
138302,Madison Hubbell,24 February 1991,"Lansing, Michigan (USA)",https://www.olympedia.org/athletes/138302
138306,Zach Donohue,8 January 1991,"Hartford, Connecticut (USA)",https://www.olympedia.org/athletes/138306
128718,Madison Chock,2 July 1992,"Redondo Beach, California (USA)",https://www.olympedia.org/athletes/128718
119076,Evan Bates,23 February 1989,"Ann Arbor, Michigan (USA)",https://www.olympedia.org/athletes/119076
149109,Kaitlin Hawayek,4 November 1996,"Buffalo, New York (USA)",https://www.olympedia.org/athletes/149109
149111,Jean-Luc Baker,7 October 1993,"Burnley, England (GBR)",https://www.olympedia.org/athletes/149111
149102,Nick Page,1 August 2002,"Hollywood, Florida (USA)",https://www.olympedia.org/athletes/149102
149101,Cole McDonald,6 March 2003,"Park City, Utah (USA)",https://www.olympedia.org/athletes/149101
149105,Dylan Walczyk,25 June 1993,"Rochester, New York (USA)",https://www.olympedia.org/athletes/149105
128714,Brad Wilson,5 June 1992,"Butte, Montana (USA)",https://www.olympedia.org/athletes/128714
149103,Justin Schoenefeld,13 August 1998,"Erlanger, Kentucky (USA)",https://www.olympedia.org/athletes/149103
149100,Chris Lillis,4 October 1998,"Rochester, New York (USA)",https://www.olympedia.org/athletes/149100
138297,Eric Loughran,12 April 1995,"Lowell, Massachusetts (USA)",https://www.olympedia.org/athletes/138297
149106,Tyler Wallasch,8 June 1994,"Los Angeles, California (USA)",https://www.olympedia.org/athletes/149106
128715,David Wise,30 June 1990,"Reno, Nevada (USA)",https://www.olympedia.org/athletes/128715
138294,Alex Ferreira,14 August 1994,"Aspen, Colorado (USA)",https://www.olympedia.org/athletes/138294
2302026,Birk Irving,26 July 1999,"Englewood, New Jersey (USA)",https://www.olympedia.org/athletes/2302026
128706,Aaron Blunck,12 April 1996,"Denver, Colorado (USA)",https://www.olympedia.org/athletes/128706
138295,Alex Hall,21 September 1998,"Fairbanks, Alaska (USA)",https://www.olympedia.org/athletes/138295
128711,Nick Goepper,14 March 1994,"Fort Wayne, Indiana (USA)",https://www.olympedia.org/athletes/128711
149104,Colby Stevenson,3 October 1997,"Portsmouth, New Hampshire (USA)",https://www.olympedia.org/athletes/149104
149099,Mac Forehand,4 August 2001,"Winhall, Vermont (USA)",https://www.olympedia.org/athletes/149099
138286,Jaelin Kauf,26 September 1996,"Vail, Colorado (USA)",https://www.olympedia.org/athletes/138286
149091,Olivia Giaccio,15 August 2000,"Mount Kisco, New York (USA)",https://www.olympedia.org/athletes/149091
149097,Hannah Soar,4 June 1999,"Somers, Connecticut (USA)",https://www.olympedia.org/athletes/149097
149096,Kai Owens,16 August 2004,"?, Anhui (CHN)",https://www.olympedia.org/athletes/149096
149095,Megan Nick,9 July 1996,"Shelburne, Vermont (USA)",https://www.olympedia.org/athletes/149095
118948,Ashley Caldwell,14 September 1993,"Ashburn, Virginia (USA)",https://www.olympedia.org/athletes/118948
149093,Kaila Kuhn,8 April 2003,"Boyne City, Michigan (USA)",https://www.olympedia.org/athletes/149093
149098,Winter Vinecki,18 December 1998,"Grand Rapids, Michigan (USA)",https://www.olympedia.org/athletes/149098
139199,Hanna Faulhaber,4 September 2004,"Aspen, Colorado (USA)",https://www.olympedia.org/athletes/139199
128704,Brita Sigourney,17 January 1990,"Monterey, California (USA)",https://www.olympedia.org/athletes/128704
149094,Carly Margulies,24 December 1997,"Salt Lake City, Utah (USA)",https://www.olympedia.org/athletes/149094
128702,Devin Logan,17 February 1993,"Oceanside, New York (USA)",https://www.olympedia.org/athletes/128702
138292,Maggie Voisin,14 December 1998,"Whitefish, Montana (USA)",https://www.olympedia.org/athletes/138292
149092,Marin Hamill,5 April 2001,"Salt Lake City, Utah (USA)",https://www.olympedia.org/athletes/149092
138291,Darian Stevens,29 October 1996,"Missoula, Montana (USA)",https://www.olympedia.org/athletes/138291
138284,Caroline Claire,2 February 2000,"Edina, Minnesota (USA)",https://www.olympedia.org/athletes/138284
149124,Matty Beniers,5 November 2002,"Hingham, Massachusetts (USA)",https://www.olympedia.org/athletes/149124
149123,Kenny Agostino,30 April 1992,"Morristown, New Jersey (USA)",https://www.olympedia.org/athletes/149123
149132,Sam Hentges,26 July 1999,"New Brighton, Minnesota (USA)",https://www.olympedia.org/athletes/149132
149144,Nathan Smith,19 October 1998,"Tampa, Florida (USA)",https://www.olympedia.org/athletes/149144
149122,Nick Abruzzese,4 June 1999,"Slate Hill, New York (USA)",https://www.olympedia.org/athletes/149122
149125,Brendan Brisson,22 October 2001,"Manhattan Beach, California (USA)",https://www.olympedia.org/athletes/149125
138338,Brian O'Neill,1 June 1988,"Philadelphia, Pennsylvania (USA)",https://www.olympedia.org/athletes/138338
149136,Marc McLaughlin,26 July 1999,"North Billerica, Massachusetts (USA)",https://www.olympedia.org/athletes/149136
149130,Sean Farrell,2 November 2001,"Hopkinton, Massachusetts (USA)",https://www.olympedia.org/athletes/149130
149126,Noah Cates,5 February 1999,"Stillwater, Minnesota (USA)",https://www.olympedia.org/athletes/149126
149143,Nick Shore,26 September 1992,"Denver, Colorado (USA)",https://www.olympedia.org/athletes/149143
149137,Ben Meyers,15 November 1998,"Delano, Minnesota (USA)",https://www.olympedia.org/athletes/149137
149138,Andy Miele,15 April 1988,"Grosse Pointe Woods, Michigan (USA)",https://www.olympedia.org/athletes/149138
149134,Matt Knies,17 October 2002,"Phoenix, Arizona (USA)",https://www.olympedia.org/athletes/149134
149195,Justin Abdelkader,25 February 1987,"Muskegon, Michigan (USA)",https://www.olympedia.org/athletes/149195
149131,Drew Helleson,26 March 2001,"Farmington, Minnesota (USA)",https://www.olympedia.org/athletes/149131
149145,David Warsofsky,30 May 1990,"Marshfield, Massachusetts (USA)",https://www.olympedia.org/athletes/149145
149141,Nick Perbix,15 June 1998,"Elk River, Minnesota (USA)",https://www.olympedia.org/athletes/149141
149142,Jake Sanderson,8 July 2002,"Whitefish, Montana (USA)",https://www.olympedia.org/athletes/149142
149129,Brock Faber,22 August 2002,"Maple Grove, Minnesota (USA)",https://www.olympedia.org/athletes/149129
149133,Steven Kampfer,24 September 1988,"Jackson, Michigan (USA)",https://www.olympedia.org/athletes/149133
149128,Brian Cooper,1 November 1993,"Anchorage, Alaska (USA)",https://www.olympedia.org/athletes/149128
149140,Aaron Ness,18 May 1990,"Bemidji, Minnesota (USA)",https://www.olympedia.org/athletes/149140
149127,Drew Commesso,19 July 2002,"Norwell, Massachusetts (USA)",https://www.olympedia.org/athletes/149127
149135,Strauss Mann,18 August 1998,"Greenwich, Connecticut (USA)",https://www.olympedia.org/athletes/149135
